Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
12001,New Delhi Bhopal Shatabdi Express,1,NDLS,New Delhi,,17:15,0,NDLS,New Delhi,BPL,Bhopal Junction
12001,New Delhi Bhopal Shatabdi Express,2,MTJ,Mathura Junction,18:38,18:40,141,NDLS,New Delhi,BPL,Bhopal Junction
12001,New Delhi Bhopal Shatabdi Express,3,AGC,Agra Cantt,19:48,19:50,195,NDLS,New Delhi,BPL,Bhopal Junction
12001,New Delhi Bhopal Shatabdi Express,4,GWL,Gwalior Junction,21:18,21:20,363,NDLS,New Delhi,BPL,Bhopal Junction
12001,New Delhi Bhopal Shatabdi Express,5,JHS,Jhansi Junction,22:38,22:43,485,NDLS,New Delhi,BPL,Bhopal Junction
12001,New Delhi Bhopal Shatabdi Express,6,BPL,Bhopal Junction,00:15,,708,NDLS,New Delhi,BPL,Bhopal Junction
12002,Bhopal New Delhi Shatabdi Express,1,BPL,Bhopal Junction,14:50,,0,BPL,Bhopal Junction,NDLS,New Delhi
12002,Bhopal New Delhi Shatabdi Express,2,JHS,Jhansi Junction,16:38,16:43,223,BPL,Bhopal Junction,NDLS,New Delhi
12002,Bhopal New Delhi Shatabdi Express,3,GWL,Gwalior Junction,18:00,18:02,345,BPL,Bhopal Junction,NDLS,New Delhi
12002,Bhopal New Delhi Shatabdi Express,4,AGC,Agra Cantt,19:08,19:10,513,BPL,Bhopal Junction,NDLS,New Delhi
12002,Bhopal New Delhi Shatabdi Express,5,MTJ,Mathura Junction,20:28,20:30,567,BPL,Bhopal Junction,NDLS,New Delhi
12002,Bhopal New Delhi Shatabdi Express,6,NDLS,New Delhi,22:45,,708,BPL,Bhopal Junction,NDLS,New Delhi
10001,Satpura,1,BMNS,"BHARWOLI MANGANESE ORE BALAGHAT FOR MOIL SDG, BALAGHAT JN.",,08:00,0,BMNS,"BHARWOLI MANGANESE ORE BALAGHAT FOR MOIL SDG, BALAGHAT JN.",GISG,"GREY IRON FOUNDRY SDG, JABALPUR"
10001,Satpura,2,RRW,RORANWALA,10:00,10:10,100,BMNS,"BHARWOLI MANGANESE ORE BALAGHAT FOR MOIL SDG, BALAGHAT JN.",GISG,"GREY IRON FOUNDRY SDG, JABALPUR"
10001,Satpura,3,BSL,BHUSAVAL JN.,13:00,13:10,250,BMNS,"BHARWOLI MANGANESE ORE BALAGHAT FOR MOIL SDG, BALAGHAT JN.",GISG,"GREY IRON FOUNDRY SDG, JABALPUR"
10001,Satpura,4,GISG,"GREY IRON FOUNDRY SDG, JABALPUR",16:00,,400,BMNS,"BHARWOLI MANGANESE ORE BALAGHAT FOR MOIL SDG, BALAGHAT JN.",GISG,"GREY IRON FOUNDRY SDG, JABALPUR"
10002,Satpura Return,1,GISG,"GREY IRON FOUNDRY SDG, JABALPUR",,08:00,0,GISG,"GREY IRON FOUNDRY SDG, JABALPUR",BMNS,"BHARWOLI MANGANESE ORE BALAGHAT FOR MOIL SDG, BALAGHAT JN."
10002,Satpura Return,2,ANU,ANANGUR,10:00,10:10,100,GISG,"GREY IRON FOUNDRY SDG, JABALPUR",BMNS,"BHARWOLI MANGANESE ORE BALAGHAT FOR MOIL SDG, BALAGHAT JN."
10002,Satpura Return,3,TMLP,TIRUMALPUR,13:00,13:10,250,GISG,"GREY IRON FOUNDRY SDG, JABALPUR",BMNS,"BHARWOLI MANGANESE ORE BALAGHAT FOR MOIL SDG, BALAGHAT JN."
10002,Satpura Return,4,BMNS,"BHARWOLI MANGANESE ORE BALAGHAT FOR MOIL SDG, BALAGHAT JN.",16:00,,400,GISG,"GREY IRON FOUNDRY SDG, JABALPUR",BMNS,"BHARWOLI MANGANESE ORE BALAGHAT FOR MOIL SDG, BALAGHAT JN."
10103,Mandovi,1,WB,MUMBAI,,08:00,0,WB,MUMBAI,MADG,MADGAON
10103,Mandovi,2,HIL,HILSA,10:00,10:10,100,WB,MUMBAI,MADG,MADGAON
10103,Mandovi,3,GJN,GAJNER HALT,13:00,13:10,250,WB,MUMBAI,MADG,MADGAON
10103,Mandovi,4,MADG,MADGAON,16:00,,400,WB,MUMBAI,MADG,MADGAON
10104,Mandovi Return,1,MADG,MADGAON,,08:00,0,MADG,MADGAON,WB,MUMBAI
10104,Mandovi Return,2,FCIZ,"FOOD CORP. OF INDIA, ZANGALAPALLE",10:00,10:10,100,MADG,MADGAON,WB,MUMBAI
10104,Mandovi Return,3,CGS,CHANG SARI,13:00,13:10,250,MADG,MADGAON,WB,MUMBAI
10104,Mandovi Return,4,WB,MUMBAI,16:00,,400,MADG,MADGAON,WB,MUMBAI
10111,Konkan Kanya,1,WB,MUMBAI,,08:00,0,WB,MUMBAI,MADG,MADGAON
10111,Konkan Kanya,2,TKMO,TIKAMGARH O.A.,10:00,10:10,100,WB,MUMBAI,MADG,MADGAON
